Region,Country,Name,Industry,Market Value(NOK),Market Value(USD),Voting,Ownership,Incorporation Country
Oceania,Australia,Adelaide Bank Ltd,Financials,726768,109242,,0.02,Australia
Oceania,Australia,Adelaide Brighton Ltd,Industrials,1602037,240806,,0.04,Australia
Oceania,Australia,Alinta Ltd,Utilities,1705794,256402,,0.03,Australia
Oceania,Australia,Alumina Ltd,Basic Materials,36252917,5449272,,0.1,Australia
Oceania,Australia,Amcor Ltd,Industrials,114447889,17202966,,0.32,Australia
Oceania,Australia,AMP Ltd,Financials,53978517,8113654,,0.12,Australia
Oceania,Australia,Ansell Ltd,Health Care,5461152,820880,,0.09,Australia
Oceania,Australia,APN News & Media Ltd,Consumer Services,1840669,276676,,0.02,Australia
Oceania,Australia,Aristocrat Leisure Ltd,Consumer Services,3366955,506096,,0.09,Australia
Oceania,Australia,Austereo Group Ltd,Consumer Services,733336,110230,,0.03,Australia
Oceania,Australia,Australand Property Group,Financials,2576576,387292,,0.05,Australia
Oceania,Australia,Australian Foundation Investment Co Ltd,Financials,4594530,690616,,0.04,Australia
Oceania,Australia,Australian Gas Light Co Ltd,Utilities,95677071,14381474,,0.38,Australia
Oceania,Australia,Australian Pharmaceutical Industries Ltd,Consumer Services,917274,137878,,0.03,Australia
Oceania,Australia,Australian Stock Exchange Ltd,Financials,8368807,1257938,,0.1,Australia
Oceania,Australia,Australia & New Zealand Banking Group Ltd,Financials,313543564,47129564,,0.2,Australia
Oceania,Australia,AWB Ltd,Consumer Goods,4902188,736861,,0.07,Australia
Oceania,Australia,AXA Asia Pacific Holdings Ltd,Financials,36032437,5416131,,0.14,Australia
Oceania,Australia,Bendigo Bank Ltd,Financials,1027222,154405,,0.02,Australia
Oceania,Australia,BHP Billiton Ltd,Basic Materials,630364081,94751696,,0.27,Australia
Oceania,Australia,Billabong International Ltd,Consumer Goods,4682946,703906,,0.07,Australia
Oceania,Australia,BlueScope Steel Ltd,Basic Materials,21275625,3197996,,0.1,Australia
Oceania,Australia,Boral Ltd,Industrials,15249358,2292171,,0.1,Australia
Oceania,Australia,Brickworks Ltd,Industrials,3473308,522082,,0.07,Australia
Oceania,Australia,Burns Philp & Co Ltd,Consumer Goods,3044638,457648,,0.05,Australia
Oceania,Australia,Caltex Australia Ltd,Oil & Gas,2408871,362084,,0.04,Australia
Oceania,Australia,Centro Properties Group,Financials,3540000,532107,,0.03,Australia
Oceania,Australia,CFS Gandel Retail Trust,Financials,12181551,1831041,,0.1,Australia
Oceania,Australia,Coca-Cola Amatil Ltd,Consumer Goods,105838054,15908798,,0.49,Australia
Oceania,Australia,Cochlear Ltd,Health Care,4087528,614407,,0.07,Australia
Oceania,Australia,Coles Myer Ltd,Consumer Services,77717843,11681975,,0.17,Australia
Oceania,Australia,Commonwealth Bank of Australia,Financials,434392997,65294763,,0.23,Australia
Oceania,Australia,Computershare Ltd,Financials,63862128,9599286,,0.72,Australia
Oceania,Australia,Corporate Express Australia Ltd,Industrials,2044956,307383,,0.05,Australia
Oceania,Australia,CSL Ltd,Health Care,102004272,15332532,,0.61,Australia
Oceania,Australia,CSR Ltd,Basic Materials,7896334,1186919,,0.09,Australia
Oceania,Australia,Downer EDI Ltd,Industrials,3559775,535079,,0.06,Australia
Oceania,Australia,Envestra Ltd,Utilities,766920,115278,,0.02,Australia
Oceania,Australia,Flight Centre Ltd,Consumer Services,6917026,1039716,,0.07,Australia
Oceania,Australia,Foodland Associated Ltd,Telecommunications,5937324,892455,,0.05,Australia
Oceania,Australia,Fosters Group Ltd,Consumer Goods,130481866,19613075,,0.29,Australia
Oceania,Australia,Futuris Corp Ltd,Consumer Goods,2568405,386064,,0.05,Australia
Oceania,Australia,General Property Trust,Financials,7798897,1172273,,0.03,Australia
Oceania,Australia,Gunns Ltd,Basic Materials,4802600,721891,,0.09,Australia
Oceania,Australia,GWA International Ltd,Industrials,3529278,530495,,0.09,Australia
Oceania,Australia,Harvey Norman Holdings Ltd,Consumer Services,6823437,1025649,,0.04,Australia
Oceania,Australia,Hills Motorway Group,Consumer Services,5351637,804419,,0.09,Australia
