Region,Country,Name,Industry,Market Value(NOK),Market Value(USD),Incorporation Country
Oceania,Australia,APT Pipelines Ltd,Corporate Bonds,710642010,80871486,Australia
Oceania,Australia,Ausgrid Finance Pty Ltd,Corporate Bonds,102346167,11647055,Australia
Oceania,Australia,Australian Capital Territory,Government Related Bonds,799719709,91008582,Australia
Oceania,Australia,Australia & New Zealand Banking Group Ltd,Corporate Bonds/Securitized Bonds,995105882,113243645,Australia
Oceania,Australia,Bank of Queensland Ltd,Securitized Bonds,526568684,59923831,Australia
Oceania,Australia,BHP Billiton Finance Ltd,Corporate Bonds,373926705,42553083,Australia
Oceania,Australia,BHP Billiton Finance USA Ltd,Corporate Bonds,21894880,2491650,Australia
Oceania,Australia,Boral Finance Pty Ltd,Corporate Bonds,354401217,40331071,Australia
Oceania,Australia,Commonwealth Bank of Australia,Corporate Bonds/Securitized Bonds,2984739763,339665172,Australia
Oceania,Australia,Goodman US Finance Two LLC,Corporate Bonds,278502625,31693765,United States
Oceania,Australia,Government of Australia,Government,29344417289,3339412253,Australia
Oceania,Australia,LGFV Program Trust,Government Related Bonds,129622557,14751125,Australia
Oceania,Australia,National Australia Bank Ltd,Corporate Bonds/Securitized Bonds,1124389658,127956216,Australia
Oceania,Australia,National Housing Finance and Investment Corp,Government Related Bonds,33316628,3791452,Australia
Oceania,Australia,New South Wales Treasury Corp,Government Related Bonds,3258729826,370845405,Australia
Oceania,Australia,Northern Territory Treasury Corp,Government Related Bonds,978745381,111381810,Australia
Oceania,Australia,Pacific National Finance Pty Ltd,Corporate Bonds,45158386,5139051,Australia
Oceania,Australia,Queensland Treasury Corp,Government Related Bonds,7927340006,902136038,Australia
Oceania,Australia,Scentre Group Trust 1,Corporate Bonds,353466102,40224654,Australia
Oceania,Australia,South Australian Government Financing Authority,Government Related Bonds,1021386968,116234448,Australia
Oceania,Australia,Sydney Airport Finance Co Pty Ltd,Corporate Bonds,138733947,15788006,Australia
Oceania,Australia,Tasmanian Public Finance Corp,Government Related Bonds,422448027,48074838,Australia
Oceania,Australia,Telstra Corp Ltd,Corporate Bonds,1444027022,164331140,Australia
Oceania,Australia,Transurban Finance Co Pty Ltd,Corporate Bonds,180930068,20589950,Australia
Oceania,Australia,Treasury Corp of Victoria,Government Related Bonds,2932762390,333750115,Australia
Oceania,Australia,Vicinity Centres,Corporate Bonds,292056541,33236209,Australia
Oceania,Australia,Western Australian Treasury Corp,Government Related Bonds,2657953867,302476741,Australia
Oceania,Australia,Westpac Banking Corp,Corporate Bonds/Securitized Bonds,2189565171,249173827,Australia
Oceania,Australia,Woodside Finance Ltd,Corporate Bonds,658005912,74881467,Australia
Europe,Austria,Autobahnen- und Schnell- strassen-Finanzierungs AG,Government Related Bonds,507655937,57771550,Austria
Europe,Austria,BAWAG PSK Bank fuer Arbeit und Wirtschaft und Oesterreichische Postsparkasse AG,Corporate Bonds/Securitized Bonds,769852728,87609701,Austria
Europe,Austria,Erste Group Bank AG,Corporate Bonds/Securitized Bonds,967454526,110096904,Austria
Europe,Austria,Government of Austria,Government,9959504251,1133397545,Austria
Europe,Austria,Heta Asset Resolution AG,Government Related Bonds,795344301,90510658,Austria
Europe,Austria,Hypo Tirol Bank AG,Securitized Bonds,493138959,56119509,Austria
Europe,Austria,Hypo Vorarlberg Bank AG,Securitized Bonds,153929417,17517260,Austria
Europe,Austria,HYPO NOE Landesbank fuer Niederoesterreich und Wien AG,Securitized Bonds,151073103,17192210,Austria
Europe,Austria,JAB Holdings BV,Corporate Bonds,1854874607,211085841,Netherlands
Europe,Austria,KA Finanz AG,Government Related Bonds,347183302,39509668,Austria
Europe,Austria,Oberoesterreichische Landesbank AG,Securitized Bonds,248751707,28308093,Austria
Europe,Austria,OeBB-Infrastruktur AG,Government Related Bonds,265185535,30178273,Austria
Europe,Austria,Oesterreichische Kontrollbank AG,Government Related Bonds,717730699,81678183,Austria
Europe,Austria,Raiffeisenlandesbank Niederoesterreich-Wien AG,Securitized Bonds,758630291,86332581,Austria
Europe,Austria,Raiffeisenlandesbank Vorarlberg Waren-und Revisionsverband registrierte GenmbH,Securitized Bonds,513373530,58422215,Austria
Europe,Austria,Raiffeisen Bank International AG,Securitized Bonds,314607653,35802539,Austria
Europe,Austria,UniCredit Bank Austria AG,Securitized Bonds,552388753,62862171,Austria
Europe,Austria,Volksbank Wien AG,Securitized Bonds,649240855,73883998,Austria
Europe,Belgium,Anheuser-Busch Cos LLC,Corporate Bonds,726683934,82697067,United States
Europe,Belgium,Anheuser-Busch InBev SA/NV,Corporate Bonds,741960954,84435601,Belgium
Europe,Belgium,Anheuser-Busch InBev Worldwide Inc,Corporate Bonds,4353415211,495421257,United States
Europe,Belgium,Belfius Bank SA,Corporate Bonds,340309142,38727384,Belgium
Europe,Belgium,BNP Paribas Fortis SA,Securitized Bonds,555705991,63239674,Belgium
Europe,Belgium,Dexia Credit Local SA,Government Related Bonds,2318061759,263796816,France
Europe,Belgium,Elia System Operator SA/NV,Corporate Bonds,226570983,25783913,Belgium
Europe,Belgium,Flemish Community/The,Government Related Bonds,146213651,16639201,Belgium
Europe,Belgium,Government of Belgium,Government,17012720573,1936057785,Belgium
Europe,Belgium,KBC Group NV,Corporate Bonds,1335798086,152014622,Belgium
Latin America,Brazil,Centrais Eletricas Brasileiras SA,Government Related Bonds,185356231,21093650,Brazil
Latin America,Brazil,Government of Brazil,Government,18160568634,2066683581,Brazil
Latin America,Brazil,GTL Trade Finance Inc,Corporate Bonds,66547370,7573131,British Virgin Islands
North America,Canada,Air Canada,Corporate Bonds,77155027,8780288,Canada
North America,Canada,Bank of Montreal,Corporate Bonds/Securitized Bonds,862230542,98122352,Canada
North America,Canada,Bank of Nova Scotia/The,Securitized Bonds,1002983582,114140132,Canada
North America,Canada,Brookfield Asset Management Inc,Corporate Bonds,308858676,35148302,Canada
North America,Canada,Brookfield Finance Inc,Corporate Bonds,192162434,21868200,Canada
North America,Canada,Caisse Centrale Desjardins,Securitized Bonds,297853173,33895869,Canada
North America,Canada,Canada Mortgage & Housing Corp,Government Related Bonds,26781012850,3047695293,Canada
North America,Canada,Canadian Imperial Bank of Commerce,Securitized Bonds,1793172808,204064139,Canada
North America,Canada,Canadian National Railway Co,Corporate Bonds,11948678,1359767,Canada
North America,Canada,Canadian Natural Resources Ltd,Corporate Bonds,393194448,44745764,Canada
North America,Canada,Canadian Pacific Railway Co,Corporate Bonds,229879251,26160396,Canada
North America,Canada,CDP Financial Inc,Government Related Bonds,1496861614,170343748,Canada
North America,Canada,Cenovus Energy Inc,Corporate Bonds,448271099,51013519,Canada
North America,Canada,City of Montreal Canada,Government Related Bonds,368071707,41886781,Canada
North America,Canada,City of Toronto Canada,Government Related Bonds,924226745,105177557,Canada
North America,Canada,CPPIB Capital Inc,Government Related Bonds,975353500,110995812,Canada
North America,Canada,Enbridge Energy Partners LP,Corporate Bonds,526416825,59906550,United States
North America,Canada,Enbridge Inc,Corporate Bonds,1510765748,171926046,Canada
North America,Canada,Encana Corp,Corporate Bonds,146830574,16709407,Canada
North America,Canada,Export Development Canada,Government Related Bonds,152149021,17314650,Canada
North America,Canada,Federation des Caisses Desjardins du Quebec,Securitized Bonds,593534044,67544530,Canada
North America,Canada,Government of Canada,Government,30640460491,3486902745,Canada
North America,Canada,HSBC Bank Canada,Securitized Bonds,614346725,69913025,Canada
North America,Canada,Hydro-Quebec,Government Related Bonds,569816130,64845417,Canada
North America,Canada,Methanex Corp,Corporate Bonds,316664412,36036600,Canada
North America,Canada,Municipal Finance Authority of British Columbia,Government Related Bonds,1571958515,178889820,Canada
North America,Canada,Muskrat Falls / Labrador Transmission Assets Funding Trust,Government Related Bonds,178070002,20264473,Canada
North America,Canada,National Bank of Canada,Securitized Bonds,1147508007,130587098,Canada
North America,Canada,NOVA Chemicals Corp,Government Related Bonds,109096438,12415240,Canada
North America,Canada,Ontario Electricity Financial Corp,Government Related Bonds,243779477,27742250,Canada
North America,Canada,Province of Alberta Canada,Government Related Bonds,2446707168,278436740,Canada
North America,Canada,Province of British Columbia Canada,Government Related Bonds,2994316958,340755062,Canada
North America,Canada,Province of Manitoba Canada,Government Related Bonds,2148986145,244555910,Canada
North America,Canada,Province of New Brunswick Canada,Government Related Bonds,1075906700,122438827,Canada
North America,Canada,Province of Nova Scotia Canada,Government Related Bonds,533231241,60682034,Canada
North America,Canada,Province of Ontario Canada,Government Related Bonds,13192759193,1501343893,Canada
North America,Canada,Province of Quebec Canada,Government Related Bonds,7444628997,847203236,Canada
North America,Canada,Province of Saskatchewan Canada,Government Related Bonds,126866937,14437533,Canada
North America,Canada,PSP Capital Inc,Government Related Bonds,718774410,81796958,Canada
North America,Canada,Regional Municipality of Peel Ontario,Government Related Bonds,120333328,13694005,Canada
North America,Canada,Regional Municipality of York,Government Related Bonds,266393289,30315716,Canada
North America,Canada,Rogers Communications Inc,Corporate Bonds,416983600,47452983,Canada
North America,Canada,Royal Bank of Canada,Corporate Bonds/Securitized Bonds,2725921959,310211551,Canada
North America,Canada,South Coast British Columbia Transportation Authority,Government Related Bonds,67112405,7637432,Canada
North America,Canada,Spectra Energy Partners LP,Corporate Bonds,939495703,106915173,United States
North America,Canada,Suncor Energy Inc,Corporate Bonds,348367641,39644446,Canada
North America,Canada,Teck Resources Ltd,Corporate Bonds,90280593,10273985,Canada
North America,Canada,Thomson Reuters Corp,Corporate Bonds,60642270,6901127,Canada
North America,Canada,Toronto-Dominion Bank/The,Securitized Bonds,454026976,51668542,Canada
North America,Canada,Transcanada Trust,Corporate Bonds,604111692,68748272,Canada
North America,Canada,TransCanada PipeLines Ltd,Corporate Bonds,517231888,58861298,Canada
Latin America,Chile,Banco del Estado de Chile,Government Related Bonds,267329994,30422313,Chile
Latin America,Chile,Banco Santander Chile,Corporate Bonds,264154586,30060950,Chile
Latin America,Chile,Celulosa Arauco y Constitucion SA,Corporate Bonds,214396583,24398459,Chile
Latin America,Chile,Colbun SA,Corporate Bonds,110991830,12630937,Chile
Latin America,Chile,Corp Nacional del Cobre de Chile,Government Related Bonds,395083409,44960728,Chile
Latin America,Chile,Empresa de Transporte de Pasajeros Metro SA,Government Related Bonds,268610089,30567989,Chile
Latin America,Chile,Government of Chile,Government,1473997737,167741825,Chile
Latin America,Chile,Transelec SA,Corporate Bonds,242213147,27564001,Chile
Asia,China,Alibaba Group Holding Ltd,Corporate Bonds,1072500510,122051200,Cayman Islands
Asia,China,Export-Import Bank of China/The,Government Related Bonds,3321849579,378028471,China
Asia,China,Industrial & Commercial Bank of China Ltd,Government Related Bonds,148592596,16909926,China
Asia,China,Nexen Inc,Government Related Bonds,185108549,21065464,Canada
Asia,China,Sinopec Group Overseas Development 2018 Ltd,Government Related Bonds,354143421,40301733,British Virgin Islands
Asia,China,State Grid Overseas Investment 2016 Ltd,Government Related Bonds,460850681,52445083,British Virgin Islands
Asia,China,Tencent Holdings Ltd,Corporate Bonds,780272545,88795483,Cayman Islands
Latin America,Colombia,Government of Colombia,Government,11229732933,1277950330,Colombia
Latin America,Colombia,Oleoducto Central SA,Government Related Bonds,225405229,25651250,Colombia
Europe,Cyprus,Government of Cyprus,Government,329031665,37444000,Cyprus
Europe,Czech Republic,Government of the Czech Republic,Government,453584194,51618153,Czech Republic
Europe,Denmark,Danske Bank A/S,Corporate Bonds,3593314321,408921321,Denmark
Europe,Denmark,DLR Kredit A/S,Securitized Bonds,807463864,91889871,Denmark
Europe,Denmark,Government of Denmark,Government,11530429961,1312169832,Denmark
Europe,Denmark,Jyske Realkredit A/S,Securitized Bonds,873353946,99388202,Denmark
Europe,Denmark,Kommunekredit,Government Related Bonds,1297552337,147662233,Denmark
Europe,Denmark,Nordea Kredit Realkreditaktieselskab,Securitized Bonds,1681273134,191329889,Denmark
Europe,Denmark,Nykredit Realkredit A/S,Corporate Bonds,295635021,33643442,Denmark
Europe,Denmark,Oresundsbro Konsortiet,Government Related Bonds,285694115,32512161,International Organisations
Europe,Denmark,Orsted A/S,Government Related Bonds,92410117,10516327,Denmark
Europe,Denmark,Sydbank A/S,Corporate Bonds,204508384,23273176,Denmark
Europe,Denmark,TDC A/S,Corporate Bonds,10588170,1204940,Denmark
Europe,Finland,Aktia Bank Oyj,Securitized Bonds,201680599,22951373,Finland
Europe,Finland,Alandsbanken Abp,Corporate Bonds/Securitized Bonds,545195604,62043586,Finland
Europe,Finland,Danske Kiinnitysluottopankki Oyj,Securitized Bonds,151038066,17188222,Finland
Europe,Finland,Elisa Oyj,Corporate Bonds,113499785,12916343,Finland
Europe,Finland,Finnfund,Government Related Bonds,448545192,51044711,Finland
Europe,Finland,Finnvera Oyj,Government Related Bonds,649743078,73941151,Finland
